Cluster_Label,Count,Recency,Frequency,Monetary
I,1737,-0.607586391,-0.460831782,-0.511152155
II,543,-0.760241238,2.132715705,2.0135458
III,1632,1.231949418,-0.613379505,-0.595573585
IV,1091,-0.497115396,0.589766756,0.702559133
